country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Germany,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4637,114251
Spain,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4231,114253
Japan,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4288,114252
Denmark,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4028,114253
United Kingdom,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4248,114252
Finland,Kiełpiny,19.816075,53.3480719,2/5/2023,12/31/1969,Farm,Birds,714,9066,domestic,4243,114250
Sweden,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4681,114252
Hungary,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4107,114251
Nigeria,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4674,114251
Germany,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4131,114253
Russia,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4729,114251
Sweden,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4833,114251
Germany,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4130,114251
Canada,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4438,114251
Switzerland,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4733,114253
Portugal,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4583,114251
Serbia,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4034,114253
Faeroe Islands,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4512,114252
Colombia,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4668,114252
Germany,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4026,114252
Czech Republic,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4836,114251
Ireland,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4524,114253
Netherlands,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,3374,112622
Switzerland,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4108,114251
Germany,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4101,114251
Israel,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4125,114251
Iceland,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4443,114251
Netherlands,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4051,114251
Germany,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4023,114251
Estonia,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,3756,114251
Panama,Kiełpiny,19.816075,53.3480719,2/5/2023,12/31/1969,Farm,Birds,714,9066,domestic,4789,114250
Bulgaria,Kiełpiny,19.816075,53.3480719,2/5/2023,12/31/1969,Farm,Birds,714,9066,domestic,1696,114250
Germany,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,3498,114252
Mexico,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4675,114251
