location,longitude,latitude,start,end,epiUnit
Attleborough, Breckland,0.95,52.47,9/23/2022,11/6/2022,Farm
Poulton-le-Fylde, Wyre,-2.91,53.87,9/20/2022,10/29/2022,Farm
Hadleigh, Babergh,0.93,52.1,9/18/2022,10/29/2022,Farm
Northwold, King's Lynn and West Norfolk, Norfolk,0.58,52.52,9/19/2022,10/30/2022,Farm
Attleborough, Breckland,0.92,52.48,9/13/2022,10/23/2022,Farm
Heybridge, Maldon,0.76,51.76,9/1/2022,10/9/2022,Farm
Dartington, South Hams ,-3.74,50.5,9/15/2022,1/23/2023,Farm
Lowestoft, East Suffolk,1.65,52.44,9/26/2022,12/12/2022,Farm
Selby, Selby,-0.98,53.85,9/24/2022,11/27/2022,Farm
Honington, West Suffolk,0.78,52.35,9/8/2022,11/30/2022,Farm
HONINGTON, WEST SUFFOLK ,0.79,52.35,9/12/2022,11/30/2022,Farm
Easingwold, Hambleton,-1.3,54.15,9/16/2022,11/16/2022,Farm
Constantine, Camborne & Redruth ,-5.22,50.12,8/26/2022,10/19/2022,Backyard
South Molton, North Devon,-3.79,51.04,8/15/2022,10/19/2022,Other
Torpoint, South East Cornwall,-4.22,50.34,9/4/2022,11/7/2022,Backyard
Milford Haven, Pembrokeshire,-5.11,51.73,8/31/2022,10/30/2022,Farm
BRIDLINGTON, EAST RIDING OF YORKSHIRE,-0.16,54.11,8/30/2022,10/17/2022,Farm
Bridlington, East Riding of Yorkshire ,-0.21,54.12,8/24/2022,10/17/2022,Farm
Cullompton, Mid Devon,-3.3,50.85,8/16/2022,10/4/2022,Farm
Tiverton, Mid Devon ,-3.34,50.92,8/6/2022,10/4/2022,Farm
Cullompton, Mid Devon,-3.29,50.86,8/5/2022,10/4/2022,Farm
Cullompton, Mid Devon,-3.29,50.86,7/26/2022,10/4/2022,Farm
Gayton, King’s Lynn and West Norfolk,0.64,52.74,8/1/2022,9/26/2022,Farm
Ashburton, Teignbridge ,-3.71,50.51,7/31/2022,9/11/2022,Backyard
Dartington, South Hams,-3.72,50.48,7/13/2022,9/11/2022,Farm
Birsay, Orkney Islands,-3.29,59.13,6/30/2022,8/7/2022,Backyard
Ludlow, Ludlow,-2.62,52.34,5/31/2022,7/11/2022,Farm
Ludlow, Ludlow,-2.72,52.32,5/25/2022,7/11/2022,Farm
Island of Whalsay, Shetlands,-1.01,60.34,5/22/2022,7/2/2022,Farm
Ilminster, South Somerset,-2.97,50.93,4/1/2022,5/10/2022,Backyard
Tedburn St Mary, Teignbridge,-3.61,50.73,4/10/2022,6/8/2022,Farm
Newton St Cyres, Mid Devon,-3.57,50.76,3/30/2022,6/8/2022,Farm
Market Weston, West Suffolk,0.96,52.36,3/7/2022,5/30/2022,Farm
Redgrave, Mid Suffolk,1.02,52.32,3/9/2022,5/30/2022,Farm
Redgrave, Mid Suffolk,0.98,52.36,2/25/2022,5/30/2022,Farm
Eye, Mid Suffolk,1.06,52.27,3/30/2022,5/30/2022,Farm
Near Thirsk, Hambleton,-1.42,54.23,11/17/2021,3/4/2022,Farm
Southwell, Newark and Sherwood ,-1.02,53.08,5/16/2022,7/10/2022,Backyard
Alford, East Lindsey,0.17,53.33,12/11/2021,3/23/2022,Farm
Alford, East Lindsey,0.22,53.24,12/11/2021,3/23/2022,Farm
Barrow Upon Soar, Charnwood,-1.11,52.76,12/1/2021,2/3/2022,Farm
Ballinderry, Co. Londonderry ,-6.55,54.66,12/16/2021,1/21/2022,Farm
Watlington, King’s Lynn and West Norfolk,0.53,52.68,12/25/2021,2/8/2022,Farm
Willington, South Derbyshire,-1.51,52.86,11/13/2021,2/13/2022,Farm
Coagh, County Londonderry,-6.58,54.66,12/8/2021,1/14/2022,Farm
Markethill, County Armagh,-6.57,54.32,12/7/2021,1/12/2022,Farm
Broughshane, County Antrim,-6.2,54.87,11/25/2021,1/2/2022,Farm
Aughnacloy, County Tyrone,-6.89,54.4,11/27/2021,1/10/2022,Farm
Strichen, Aberdeenshire,-2.04,57.58,3/8/2022,4/29/2022,Farm
Ledbury, North Herefordshire,-2.37,52.03,2/11/2022,3/30/2022,Other
Blaydon, Gateshead,-1.73,54.93,2/18/2022,4/19/2022,Backyard
Welshpool, Montgomeryshire,-3.11,52.68,2/17/2022,3/29/2022,Farm
